Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bf7334caa33962cd23b885cbcd0db7a622d2212ad4496ee17c689c798a0b972c,2020-12,West Yorkshire Police,West Yorkshire Police,-1.625991,53.900189,On or near THE HOLLIES,E01011570,Leeds 007A,Investigation complete
7dc16f5c47e2d1f9a888581760885660c09b4f127162b7034182d533d0ac59c4,2020-12,West Yorkshire Police,West Yorkshire Police,-1.598561,53.743386,On or near Parking Area,E01011541,Leeds 104B,Investigation complete
29d40fe62b40f26a57d918de48d35e8e38c28063652800a3575e99d7fc30f417,2020-12,West Yorkshire Police,West Yorkshire Police,-1.791499,53.838484,On or near ALBERT TERRACE,E01010784,Bradford 018C,Unable to prosecute suspect
b1a95bb76b3f6a2b1a0ec2ac5ee18adee5d96ef740c26790b9b616a247b87326,2020-12,West Yorkshire Police,West Yorkshire Police,-1.747319,53.773380,On or near DALESIDE WALK,E01010616,Bradford 053B,Investigation complete
431dd572f20f28e594adfc345a10c873c6d35e3409f7386e3dd006dcac444c45,2020-12,West Yorkshire Police,West Yorkshire Police,-1.761228,53.782163,On or near PARK LANE,E01010733,Bradford 048C,Unable to prosecute suspect
49cd333edf2f186ae134d740d8db4b785ac33224900b104a1f4b9517a679427d,2020-12,West Yorkshire Police,West Yorkshire Police,-1.519313,53.812042,On or near ELFORD ROAD,E01011429,Leeds 048D,Investigation complete
75f9eb29d95ed5cb20ffc96d4ced09b5d86153789d1e3b41d1b68f2b72c925e8,2020-12,West Yorkshire Police,West Yorkshire Police,-1.883298,53.740604,On or near RUGBY DRIVE,E01010944,Calderdale 005E,Unable to prosecute suspect
350dbb0dff1ebdafba2a868e1e07ab70298a721207e9d22c3dfafb76dcef77fc,2020-12,West Yorkshire Police,West Yorkshire Police,-1.922563,53.874385,On or near LIME CLOSE,E01010729,Bradford 007D,Investigation complete
95afa6f8e02c1c9e35df0c3fae29a14a5bab484c71b4e189a8463313b0f775c6,2020-12,West Yorkshire Police,West Yorkshire Police,-1.782113,53.808016,On or near ROYDON GROVE,E01010807,Bradford 033C,Unable to prosecute suspect
f49a139f71a24598e473463394e3650aabe4542b8620b61fc7e04e4d41a8b394,2020-12,West Yorkshire Police,West Yorkshire Police,-1.548106,53.781047,On or near DISRAELI TERRACE,E01011364,Leeds 085A,Action to be taken by another organisation
